 Nascidos vivos - Brasil;;;;;;;;;
Nascim p/resid.mãe por Município e Peso ao nascer;;;;;;;;;
Período:2000-2022;;;;;;;;;
Município;Menos de 500g;500 a 999g;1000 a 1499 g;1500 a 2499 g;2500 a 2999 g;3000 a 3999 g;4000g e mais;Ignorado;Total
 MUNICIPIO IGNORADO - RO;-;-;3;9;33;82;10;2;139
110001 ALTA FLORESTA D'OESTE;4;16;45;517;2153;6845;503;-;10083
110002 ARIQUEMES;22;108;220;2177;8250;25976;2021;52;38826
110003 CABIXI;1;5;5;90;355;1446;170;4;2076
110004 CACOAL;11;90;156;1797;6768;21196;1676;8;31702
110005 CEREJEIRAS;5;14;27;307;1128;4287;395;1;6164
110006 COLORADO DO OESTE;5;22;35;325;1224;4152;345;13;6121
110007 CORUMBIARA;5;13;9;133;547;1912;169;2;2790
110008 COSTA MARQUES;6;20;27;288;1153;3998;419;2;5913
110009 ESPIGAO D'OESTE;4;19;50;605;2288;7778;723;6;11473
110010 GUAJARA-MIRIM;7;53;101;932;3312;13776;1862;1;20044
110011 JARU;17;47;96;1162;4455;14489;1181;15;21462
110012 JI-PARANA;47;145;249;2570;9878;32562;2821;12;48284
110013 MACHADINHO D'OESTE;14;24;75;725;2638;8206;656;8;12346
110014 NOVA BRASILANDIA D'OESTE;3;19;33;334;1636;4878;341;6;7250
110015 OURO PRETO DO OESTE;6;23;69;854;3051;9411;687;12;14113
110018 PIMENTA BUENO;13;36;84;765;2965;9408;679;1;13951
110020 PORTO VELHO;115;759;1320;11537;35333;120326;16824;714;186928
110025 PRESIDENTE MEDICI;11;18;35;397;1507;4602;381;7;6958
110026 RIO CRESPO;-;2;5;47;193;659;56;-;962
110028 ROLIM DE MOURA;10;49;99;1114;4349;13824;942;21;20408
110029 SANTA LUZIA D'OESTE;2;2;9;149;602;1928;171;13;2876
110030 VILHENA;47;91;180;1893;6719;21091;1482;9;31512
110032 SAO MIGUEL DO GUAPORE;8;19;23;399;1714;5405;467;10;8045
110033 NOVA MAMORE;7;24;33;470;1794;6164;544;4;9040
110034 ALVORADA D'OESTE;4;17;16;330;1256;4041;332;2;5998
110037 ALTO ALEGRE DOS PARECIS;4;5;19;211;835;2632;200;3;3909
110040 ALTO PARAISO;1;14;28;308;1276;3709;277;8;5621
110045 BURITIS;13;36;50;789;2982;9930;892;13;14705
110050 NOVO HORIZONTE DO OESTE;2;6;10;150;655;2013;149;4;2989
110060 CACAULANDIA;2;1;11;87;384;1220;89;15;1809
110070 CAMPO NOVO DE RONDONIA;1;4;18;200;745;2588;219;4;3779
110080 CANDEIAS DO JAMARI;3;26;50;424;1390;4303;463;6;6665
110090 CASTANHEIRAS;-;5;4;78;226;788;59;1;1161
110092 CHUPINGUAIA;3;8;12;157;600;2055;142;7;2984
110094 CUJUBIM;5;14;27;280;998;3081;244;11;4660
110100 GOVERNADOR JORGE TEIXEIRA;2;10;13;168;687;2305;207;9;3401
110110 ITAPUA DO OESTE;1;4;7;137;460;1661;164;6;2440
110120 MINISTRO ANDREAZZA;1;3;14;138;590;1905;157;5;2813
110130 MIRANTE DA SERRA;2;9;21;235;833;3162;345;9;4616
110140 MONTE NEGRO;1;12;19;279;916;3621;363;1;5212
110143 NOVA UNIAO;2;6;7;112;448;1621;131;1;2328
110145 PARECIS;1;1;8;76;365;928;55;1;1435
110146 PIMENTEIRAS DO OESTE;1;4;4;45;163;746;103;3;1069
110147 PRIMAVERA DE RONDONIA;1;4;6;60;276;794;45;-;1186
110148 SAO FELIPE D'OESTE;1;4;6;86;386;1177;77;2;1739
110149 SAO FRANCISCO DO GUAPORE;6;16;29;296;1122;4284;486;2;6241
110150 SERINGUEIRAS;3;8;12;173;652;3062;352;6;4268
110155 TEIXEIROPOLIS;1;3;5;76;311;962;54;-;1412
110160 THEOBROMA;4;3;8;164;665;2103;153;6;3106
110170 URUPA;-;16;26;227;832;2505;185;2;3793
110175 VALE DO ANARI;1;11;5;124;498;1537;139;2;2317
110180 VALE DO PARAISO;-;7;11;128;480;1478;106;2;2212
 MUNICIPIO IGNORADO - AC;-;-;-;2;-;8;3;-;13
120001 ACRELANDIA;10;6;32;309;1011;3516;394;32;5310
120005 ASSIS BRASIL;7;6;27;248;1059;3049;296;425;5117
120010 BRASILEIA;11;40;78;625;2198;7840;801;126;11719
120013 BUJARI;2;9;24;284;906;2680;235;37;4177
120017 CAPIXABA;2;11;24;263;830;2666;284;37;4117
120020 CRUZEIRO DO SUL;39;123;206;2701;9178;26124;2501;2116;42988
120025 EPITACIOLANDIA;7;26;30;342;1248;4321;440;68;6482
120030 FEIJO;12;27;58;810;2914;9828;1106;2304;17059
120032 JORDAO;8;10;14;431;732;2735;397;123;4450
120033 MANCIO LIMA;7;22;32;541;1836;5000;442;765;8645
120034 MANOEL URBANO;12;5;10;341;1061;2927;229;319;4904
120035 MARECHAL THAUMATURGO;34;10;21;456;1529;5727;736;443;8956
120038 PLACIDO DE CASTRO;8;15;44;487;1431;5120;601;31;7737
120039 PORTO WALTER;11;12;22;274;1012;3034;453;1737;6555
120040 RIO BRANCO;61;667;1146;11314;33947;101300;8960;243;157638
120042 RODRIGUES ALVES;13;27;29;502;2010;5347;515;673;9116
120043 SANTA ROSA DO PURUS;7;8;12;216;656;1803;168;657;3527
120045 SENADOR GUIOMARD;6;36;61;568;1655;5528;539;35;8428
120050 SENA MADUREIRA;12;53;72;1190;4177;12904;1268;447;20123
120060 TARAUACA;12;60;93;1025;3888;16753;2229;542;24602
120070 XAPURI;3;15;41;344;1257;4998;898;137;7693
120080 PORTO ACRE;2;21;44;450;1459;4258;369;62;6665
 MUNICIPIO IGNORADO - AM;1;1;5;36;71;157;14;3;288
130002 ALVARAES;3;6;27;484;1711;5096;409;3;7739
130006 AMATURA;-;9;16;264;1163;3330;216;40;5038
130008 ANAMA;6;4;11;313;1032;2735;281;158;4540
130010 ANORI;5;14;22;309;960;4162;506;14;5992
130014 APUI;2;26;25;292;1082;3709;383;9;5528
130020 ATALAIA DO NORTE;4;8;24;463;1638;4469;391;111;7108
130030 AUTAZES;6;40;67;1004;3855;12057;1186;455;18670
130040 BARCELOS;2;11;35;698;2390;5526;468;124;9254
130050 BARREIRINHA;4;20;44;891;3373;10486;1174;20;16012
130060 BENJAMIN CONSTANT;7;38;72;1180;4227;13796;1237;111;20668
130063 BERURI;10;8;23;452;1860;6644;678;61;9736
130068 BOA VISTA DO RAMOS;3;13;31;429;1566;5360;723;2;8127
130070 BOCA DO ACRE;20;26;47;884;2987;10367;1108;22;15461
130080 BORBA;5;30;77;992;3335;10436;959;294;16128
130083 CAAPIRANGA;6;14;18;248;910;2452;261;118;4027
130090 CANUTAMA;1;8;17;232;820;3003;340;69;4490
130100 CARAUARI;6;23;33;577;1961;9301;1459;126;13486
130110 CAREIRO;3;19;56;568;1786;6418;798;55;9703
130115 CAREIRO DA VARZEA;3;16;26;249;841;2592;239;929;4895
130120 COARI;4;80;191;2551;8741;25331;2350;295;39543
130130 CODAJAS;12;25;34;433;1789;6846;727;48;9914
130140 EIRUNEPE;15;33;88;1267;4189;10924;888;712;18116
130150 ENVIRA;2;16;34;607;2072;5230;387;2;8350
130160 FONTE BOA;11;20;61;933;2763;8451;631;5;12875
130165 GUAJARA;10;9;34;493;1587;4862;549;203;7747
130170 HUMAITA;5;55;87;1278;5030;14362;1353;311;22481
130180 IPIXUNA;13;15;46;594;1595;5543;636;889;9331
130185 IRANDUBA;6;61;102;1061;3726;12360;1208;38;18562
130190 ITACOATIARA;33;148;205;2540;8547;31171;3747;5;46396
130195 ITAMARATI;2;3;11;424;1193;2874;236;256;4999
130200 ITAPIRANGA;1;7;17;218;861;2828;225;19;4176
130210 JAPURA;2;4;13;172;637;1975;169;32;3004
130220 JURUA;2;7;18;229;891;2724;233;7;4111
130230 JUTAI;5;13;32;732;2796;7112;634;78;11402
130240 LABREA;16;19;63;954;3342;10839;1163;47;16443
130250 MANACAPURU;22;104;225;2850;10353;30334;3112;1572;48572
130255 MANAQUIRI;2;9;25;315;1077;3370;423;20;5241
130260 MANAUS;476;4073;6803;61422;189985;574354;55471;1469;894053
130270 MANICORE;3;23;63;1012;3536;13333;1763;71;19804
130280 MARAA;2;12;26;427;1560;5031;515;6;7579
130290 MAUES;16;52;113;1755;6666;19957;1895;95;30549
130300 NHAMUNDA;7;18;31;355;1468;5203;618;53;7753
130310 NOVA OLINDA DO NORTE;9;24;77;865;3202;8493;725;193;13588
130320 NOVO AIRAO;3;19;32;388;1396;4217;413;26;6494
130330 NOVO ARIPUANA;8;23;36;357;1670;5858;576;4;8532
130340 PARINTINS;25;132;257;3433;11322;31158;2838;39;49204
130350 PAUINI;5;8;26;465;1498;4924;486;19;7431
130353 PRESIDENTE FIGUEIREDO;5;25;54;695;2499;7683;762;11;11734
130356 RIO PRETO DA EVA;2;30;38;493;1611;5152;502;22;7850
130360 SANTA ISABEL DO RIO NEGRO;1;3;22;507;1723;4158;330;34;6778
130370 SANTO ANTONIO DO ICA;7;8;40;758;3099;8162;523;1054;13651
130380 SAO GABRIEL DA CACHOEIRA;20;40;90;1534;4998;12913;911;7228;27734
130390 SAO PAULO DE OLIVENCA;13;17;67;1062;3847;11482;783;31;17302
130395 SAO SEBASTIAO DO UATUMA;1;8;13;213;773;2822;291;2;4123
130400 SILVES;3;6;16;206;909;3035;274;9;4458
130406 TABATINGA;11;69;172;2137;8402;21517;1406;213;33927
130410 TAPAUA;8;9;28;523;1710;6423;856;24;9581
130420 TEFE;25;84;159;2407;8496;25156;2219;679;39225
130423 TONANTINS;9;11;23;498;1941;5006;305;354;8147
130426 UARINI;1;8;11;391;1432;4295;444;511;7093
130430 URUCARA;3;16;29;348;1437;4577;434;83;6927
130440 URUCURITUBA;7;10;22;375;1569;4941;554;10;7488
 MUNICIPIO IGNORADO - RR;-;-;2;4;7;19;1;-;33
140002 AMAJARI;1;11;25;891;2011;3225;214;401;6779
140005 ALTO ALEGRE;5;22;34;1474;3803;5644;448;1164;12594
140010 BOA VISTA;121;673;1079;9667;33754;100142;8552;28;154016
140015 BONFIM;3;21;43;403;1522;4451;523;368;7334
140017 CANTA;6;25;36;479;1594;4308;337;167;6952
140020 CARACARAI;9;14;44;576;1918;5471;578;340;8950
140023 CAROEBE;-;14;14;214;784;2482;253;42;3803
140028 IRACEMA;6;11;19;301;833;1943;174;87;3374
140030 MUCAJAI;6;20;47;516;1587;4652;455;40;7323
140040 NORMANDIA;11;17;33;456;1791;4866;396;801;8371
140045 PACARAIMA;9;22;45;513;1768;5031;385;426;8199
140047 RORAINOPOLIS;17;29;62;598;1972;6651;689;12;10030
140050 SAO JOAO DA BALIZA;1;12;22;188;615;1820;181;4;2843
140060 SAO LUIZ;1;2;17;140;408;1529;155;25;2277
140070 UIRAMUTA;20;18;22;647;2236;5107;311;1100;9461
 MUNICIPIO IGNORADO - PA;-;-;2;6;12;38;2;1;61
150010 ABAETETUBA;94;180;333;3942;14239;40181;2874;34;61877
150013 ABEL FIGUEIREDO;1;9;9;139;457;1810;209;4;2638
150020 ACARA;37;43;109;1309;4592;13421;1144;117;20772
150030 AFUA;19;45;107;1345;4587;11671;835;170;18779
150034 AGUA AZUL DO NORTE;2;14;16;234;924;2987;308;3;4488
150040 ALENQUER;35;59;119;1482;5477;19107;2071;365;28715
150050 ALMEIRIM;10;50;76;1095;4069;11678;995;18;17991
150060 ALTAMIRA;59;187;326;3123;10866;34960;3266;134;52921
150070 ANAJAS;28;16;40;741;3316;10212;952;29;15334
150080 ANANINDEUA;181;817;1350;14206;49652;128571;8044;14;202835
150085 ANAPU;23;35;70;619;2146;7407;740;30;11070
150090 AUGUSTO CORREA;26;22;83;1286;4672;13986;1554;1;21630
150095 AURORA DO PARA;5;19;50;541;1732;6441;689;221;9698
150100 AVEIRO;1;8;14;212;836;3575;484;13;5143
150110 BAGRE;15;14;35;710;1899;7158;1152;79;11062
150120 BAIAO;21;27;45;637;2487;7924;820;12;11973
150125 BANNACH;1;2;7;61;261;740;72;2;1146
150130 BARCARENA;57;189;288;3072;10364;29837;2509;46;46362
150140 BELEM;484;2462;4002;39392;127805;310185;19435;26;503791
150145 BELTERRA;8;13;34;342;1123;4022;458;13;6013
150150 BENEVIDES;27;105;166;1485;5390;13876;920;-;21969
150157 BOM JESUS DO TOCANTINS;12;10;24;282;864;3953;538;3;5686
150160 BONITO;8;12;20;226;912;2922;292;21;4413
150170 BRAGANCA;52;114;269;3244;10934;33099;3464;7;51183
150172 BRASIL NOVO;6;11;33;287;1051;4832;678;3;6901
150175 BREJO GRANDE DO ARAGUAIA;1;5;12;121;484;1718;214;1;2556
150178 BREU BRANCO;17;48;91;1131;4006;11348;923;7;17571
150180 BREVES;60;134;245;3657;13560;33517;2936;82;54191
150190 BUJARU;9;35;52;594;1977;7937;577;11;11192
150195 CACHOEIRA DO PIRIA;19;13;29;356;1291;4461;424;64;6657
150200 CACHOEIRA DO ARARI;7;19;19;395;1203;4079;391;3;6116
150210 CAMETA;64;148;260;4290;15202;36011;2432;85;58492
150215 CANAA DOS CARAJAS;20;56;98;1013;3591;13007;1371;3;19159
150220 CAPANEMA;60;74;135;1520;4941;17936;1700;94;26460
150230 CAPITAO POCO;23;42;85;990;3893;13492;1273;16;19814
150240 CASTANHAL;52;263;446;4217;15056;51226;4422;4;75686
150250 CHAVES;7;20;23;429;1504;3967;364;100;6414
150260 COLARES;9;10;19;264;827;2458;327;8;3922
150270 CONCEICAO DO ARAGUAIA;11;60;98;1080;3554;13700;1476;21;20000
150275 CONCORDIA DO PARA;12;23;54;638;2333;7151;592;9;10812
150276 CUMARU DO NORTE;7;9;18;181;560;2020;200;3;2998
150277 CURIONOPOLIS;6;19;35;536;1640;5772;635;3;8646
150280 CURRALINHO;24;30;52;829;3242;7642;568;405;12792
150285 CURUA;5;7;33;245;933;3479;478;79;5259
150290 CURUCA;17;37;69;752;2292;7101;617;22;10907
150293 DOM ELISEU;24;31;77;852;3103;12935;1678;16;18716
150295 ELDORADO DOS CARAJAS;6;26;66;750;2312;8988;1161;4;13313
150300 FARO;6;4;13;155;682;2276;216;7;3359
150304 FLORESTA DO ARAGUAIA;5;19;30;435;1478;4513;322;6;6808
150307 GARRAFAO DO NORTE;21;19;47;626;2062;7587;792;10;11164
150309 GOIANESIA DO PARA;16;35;68;860;2806;10328;1030;34;15177
150310 GURUPA;3;13;63;948;3533;9940;969;7;15476
150320 IGARAPE-ACU;9;31;73;852;2978;8806;769;36;13554
150330 IGARAPE-MIRI;38;47;140;1828;6828;16536;1001;215;26633
150340 INHANGAPI;1;10;22;258;857;2622;207;37;4014
150345 IPIXUNA DO PARA;16;26;61;760;2514;8592;954;48;12971
150350 IRITUIA;10;36;49;736;2500;7735;794;26;11886
150360 ITAITUBA;44;129;243;2593;9816;41224;4030;115;58194
150370 ITUPIRANGA;21;39;91;1058;3591;14436;1845;293;21374
150375 JACAREACANGA;5;12;48;872;2969;6577;389;80;10952
150380 JACUNDA;20;52;97;1062;3245;16301;2127;22;22926
150390 JURUTI;21;71;114;1414;4641;13020;1112;227;20620
150400 LIMOEIRO DO AJURU;16;17;48;800;2675;6399;368;29;10352
150405 MAE DO RIO;5;40;67;732;2658;10360;1298;1;15161
150410 MAGALHAES BARATA;-;3;8;142;505;1611;182;3;2454
150420 MARABA;96;396;753;7096;22418;71178;6522;10;108469
150430 MARACANA;6;30;44;511;1893;6199;713;47;9443
150440 MARAPANIM;21;21;45;479;1447;4655;524;6;7198
150442 MARITUBA;44;162;277;3083;10239;23993;1490;-;39288
150445 MEDICILANDIA;11;27;44;516;1836;7882;889;7;11212
150450 MELGACO;11;19;30;674;2091;8672;937;78;12512
150460 MOCAJUBA;6;35;59;772;2525;7433;636;296;11762
150470 MOJU;33;93;146;1915;5863;17989;1769;31;27839
150475 MOJUI DOS CAMPOS;15;3;14;149;500;1540;119;2;2342
150480 MONTE ALEGRE;6;63;118;1455;5051;18576;2012;15;27296
150490 MUANA;9;29;82;814;3004;7461;440;19;11858
150495 NOVA ESPERANCA DO PIRIA;9;13;28;483;1566;5659;627;41;8426
150497 NOVA IPIXUNA;3;14;30;307;931;3104;347;5;4741
150500 NOVA TIMBOTEUA;3;5;16;187;750;2622;225;16;3824
150503 NOVO PROGRESSO;6;40;38;570;2108;7797;924;41;11524
150506 NOVO REPARTIMENTO;23;59;118;1256;4519;20754;2725;31;29485
150510 OBIDOS;51;35;87;1360;4901;15553;1782;333;24102
150520 OEIRAS DO PARA;13;27;61;976;3679;10479;896;7;16138
150530 ORIXIMINA;32;105;170;2256;7952;21019;1693;1053;34280
150540 OUREM;15;9;38;334;1297;4745;474;181;7093
150543 OURILANDIA DO NORTE;7;27;41;639;2377;8126;836;4;12057
150548 PACAJA;21;51;69;828;2725;10929;1198;11;15832
150549 PALESTINA DO PARA;1;2;13;149;534;2229;282;5;3215
150550 PARAGOMINAS;41;156;308;2780;9033;31572;3241;10;47141
150553 PARAUAPEBAS;66;336;549;5646;19904;59471;4468;-;90440
150555 PAU D'ARCO;2;11;13;178;653;1936;162;1;2956
150560 PEIXE-BOI;6;4;3;138;547;1762;158;19;2637
150563 PICARRA;2;9;19;203;731;2524;264;4;3756
150565 PLACAS;4;11;22;255;1062;4416;588;14;6372
150570 PONTA DE PEDRAS;11;22;44;592;1969;4209;227;27;7101
150580 PORTEL;14;46;82;1559;5597;19740;2351;13;29402
150590 PORTO DE MOZ;21;26;52;832;3187;9940;876;59;14993
150600 PRAINHA;20;23;71;868;2829;10194;1052;10;15067
150610 PRIMAVERA;10;8;33;238;830;3051;284;7;4461
150611 QUATIPURU;6;11;26;247;795;3025;306;9;4425
150613 REDENCAO;28;113;206;2261;8243;26470;2075;7;39403
150616 RIO MARIA;6;13;26;455;1522;4958;644;3;7627
150618 RONDON DO PARA;10;27;75;801;2515;13189;2139;4;18760
150619 RUROPOLIS;13;21;28;357;1456;6987;1139;11;10012
150620 SALINOPOLIS;29;36;73;972;3454;11161;927;3;16655
150630 SALVATERRA;12;21;36;425;1340;4916;560;5;7315
150635 SANTA BARBARA DO PARA;7;23;38;576;1748;4063;260;12;6727
150640 SANTA CRUZ DO ARARI;1;9;4;140;464;1025;94;12;1749
150650 SANTA IZABEL DO PARA;21;77;117;1441;4977;14054;1107;36;21830
150655 SANTA LUZIA DO PARA;18;14;32;414;1540;5465;679;96;8258
150658 SANTA MARIA DAS BARREIRAS;3;17;24;211;715;2690;279;1;3940
150660 SANTA MARIA DO PARA;8;25;56;515;1962;7040;641;4;10251
150670 SANTANA DO ARAGUAIA;15;27;60;644;2244;9761;1502;7;14260
150680 SANTAREM;271;497;817;9046;30502;99248;10500;706;151587
150690 SANTAREM NOVO;3;1;9;115;431;1614;164;13;2350
150700 SANTO ANTONIO DO TAUA;5;33;55;670;2407;7570;733;5;11478
150710 SAO CAETANO DE ODIVELAS;10;13;40;341;1118;3288;325;6;5141
150715 SAO DOMINGOS DO ARAGUAIA;3;26;53;550;1589;6934;1065;5;10225
150720 SAO DOMINGOS DO CAPIM;10;40;69;821;3091;9076;692;2;13801
150730 SAO FELIX DO XINGU;13;50;97;1156;4459;14928;1530;10;22243
150740 SAO FRANCISCO DO PARA;3;11;36;340;1140;3519;266;1;5316
150745 SAO GERALDO DO ARAGUAIA;4;28;59;621;2096;8773;1014;1;12596
150746 SAO JOAO DA PONTA;7;4;9;99;352;1204;99;2;1776
150747 SAO JOAO DE PIRABAS;18;13;28;429;1526;4845;507;46;7412
150750 SAO JOAO DO ARAGUAIA;2;9;21;256;888;3082;354;93;4705
150760 SAO MIGUEL DO GUAMA;21;63;135;1507;5239;15347;1094;12;23418
150770 SAO SEBASTIAO DA BOA VISTA;24;27;42;726;2350;6482;417;23;10091
150775 SAPUCAIA;2;5;6;126;438;1424;140;1;2142
150780 SENADOR JOSE PORFIRIO;12;11;33;390;1430;4356;373;40;6645
150790 SOURE;17;23;43;574;1772;5924;747;9;9109
150795 TAILANDIA;24;102;181;2089;7135;22767;2118;133;34549
150796 TERRA ALTA;1;16;29;234;880;2663;264;-;4087
150797 TERRA SANTA;6;14;20;346;1152;4734;611;3;6886
150800 TOME-ACU;23;59;130;1389;4739;19062;2385;7;27794
150803 TRACUATEUA;26;23;62;779;2905;7878;774;98;12545
150805 TRAIRAO;7;11;32;270;1062;3626;421;10;5439
150808 TUCUMA;17;34;63;604;2216;10874;1626;4;15438
150810 TUCURUI;31;149;277;3087;10168;29351;2310;5;45378
150812 ULIANOPOLIS;4;20;60;503;1853;6992;774;6;10212
150815 URUARA;23;42;60;860;3209;13050;1434;15;18693
150820 VIGIA;14;59;100;1205;3877;11719;921;20;17915
150830 VISEU;38;40;93;1309;4646;18322;2707;65;27220
150835 VITORIA DO XINGU;5;27;20;347;1291;4025;356;8;6079
150840 XINGUARA;6;35;99;1190;4368;12988;1112;4;19802
 MUNICIPIO IGNORADO - AP;-;-;-;3;-;5;-;-;8
160005 SERRA DO NAVIO;3;10;9;124;410;1241;136;1;1934
160010 AMAPA;2;12;24;245;861;2488;213;5;3850
160015 PEDRA BRANCA DO AMAPARI;9;10;25;388;1113;2745;252;20;4562
160020 CALCOENE;6;8;22;353;918;2722;342;6;4377
160021 CUTIAS;5;7;15;152;438;1257;195;12;2081
160023 FERREIRA GOMES;5;19;19;206;678;2037;237;4;3205
160025 ITAUBAL;2;8;14;175;497;1419;163;9;2287
160027 LARANJAL DO JARI;9;83;144;1551;4725;12600;1003;16;20131
160030 MACAPA;300;1087;1461;14503;47156;130327;10922;92;205848
160040 MAZAGAO;14;29;48;664;2264;6273;565;152;10009
160050 OIAPOQUE;23;33;60;545;1990;7094;901;28;10674
160053 PORTO GRANDE;8;31;41;519;1656;5001;500;17;7773
160055 PRACUUBA;4;3;7;116;321;1061;139;7;1658
160060 SANTANA;25;202;292;3543;11906;32887;2775;51;51681
160070 TARTARUGALZINHO;14;18;35;327;1026;4252;467;36;6175
160080 VITORIA DO JARI;6;11;35;385;1373;4153;425;13;6401
 MUNICIPIO IGNORADO - TO;-;-;-;3;11;36;3;-;53
170025 ABREULANDIA;1;4;4;47;157;566;59;6;844
170030 AGUIARNOPOLIS;2;5;10;87;350;1167;129;3;1753
170035 ALIANCA DO TOCANTINS;2;9;8;119;379;1305;154;4;1980
170040 ALMAS;1;9;19;234;725;2092;221;7;3308
170070 ALVORADA;6;11;21;144;506;1962;235;11;2896
170100 ANANAS;2;10;19;234;952;3079;290;3;4589
170105 ANGICO;-;3;4;49;216;727;71;-;1070
170110 APARECIDA DO RIO NEGRO;4;6;7;103;357;1057;103;5;1642
170130 ARAGOMINAS;-;7;10;115;428;1276;111;3;1950
170190 ARAGUACEMA;4;-;6;107;390;1621;238;-;2366
170200 ARAGUACU;3;5;16;120;533;1906;227;17;2827
170210 ARAGUAINA;42;304;409;4486;15652;44763;3110;20;68786
170215 ARAGUANA;1;11;7;150;432;1437;119;2;2159
170220 ARAGUATINS;11;28;60;749;2687;9128;937;33;13633
170230 ARAPOEMA;-;5;13;130;451;1969;346;1;2915
170240 ARRAIAS;4;14;27;339;1130;2501;135;77;4227
170255 AUGUSTINOPOLIS;5;31;42;572;1966;5153;361;6;8136
170270 AURORA DO TOCANTINS;-;4;7;46;203;640;71;3;974
170290 AXIXA DO TOCANTINS;4;14;30;364;1276;3274;255;-;5217
170300 BABACULANDIA;1;6;21;194;747;1791;148;25;2933
170305 BANDEIRANTES DO TOCANTINS;1;2;5;61;223;741;57;2;1092
170307 BARRA DO OURO;1;5;5;98;414;1156;96;26;1801
170310 BARROLANDIA;1;5;11;111;360;1243;142;1;1874
170320 BERNARDO SAYAO;1;8;3;87;347;920;105;1;1472
170330 BOM JESUS DO TOCANTINS;1;2;8;93;299;1056;113;2;1574
170360 BRASILANDIA DO TOCANTINS;-;3;4;38;138;492;51;-;726
170370 BREJINHO DE NAZARE;2;12;8;144;408;1267;103;2;1946
170380 BURITI DO TOCANTINS;2;9;15;218;814;2569;262;27;3916
170382 CACHOEIRINHA;-;2;1;48;167;531;43;5;797
170384 CAMPOS LINDOS;3;4;15;154;581;2023;222;55;3057
170386 CARIRI DO TOCANTINS;1;5;4;57;228;763;75;-;1133
170388 CARMOLANDIA;-;4;7;68;220;627;53;1;980
170389 CARRASCO BONITO;-;2;17;93;372;1130;111;4;1729
170390 CASEARA;2;3;14;92;347;1222;140;-;1820
170410 CENTENARIO;-;2;6;39;126;544;69;15;801
170460 CHAPADA DE AREIA;-;3;2;20;76;283;28;-;412
170510 CHAPADA DA NATIVIDADE;4;6;5;64;243;728;87;5;1142
170550 COLINAS DO TOCANTINS;10;55;92;930;3266;9510;768;1;14632
170555 COMBINADO;2;8;11;101;325;1144;117;-;1708
170560 CONCEICAO DO TOCANTINS;1;9;18;113;336;1040;118;20;1655
170600 COUTO MAGALHAES;1;5;9;106;366;1069;101;-;1657
170610 CRISTALANDIA;4;6;13;133;395;1619;260;2;2432
170625 CRIXAS DO TOCANTINS;1;1;4;26;86;324;38;-;480
170650 DARCINOPOLIS;4;5;13;130;464;1477;110;11;2214
170700 DIANOPOLIS;5;33;64;549;1849;5093;408;27;8028
170710 DIVINOPOLIS DO TOCANTINS;2;10;16;134;489;1663;163;2;2479
170720 DOIS IRMAOS DO TOCANTINS;1;5;8;97;339;1129;99;7;1685
170730 DUERE;1;2;3;72;266;1040;151;-;1535
170740 ESPERANTINA;4;16;22;246;801;2775;316;3;4183
170755 FATIMA;2;5;1;88;304;895;85;2;1382
170765 FIGUEIROPOLIS;2;8;15;84;319;1198;147;1;1774
170770 FILADELFIA;-;8;19;182;641;1920;182;4;2956
170820 FORMOSO DO ARAGUAIA;4;33;29;370;1130;5267;910;6;7749
170825 FORTALEZA DO TABOCAO;-;2;5;51;234;754;62;-;1108
170830 GOIANORTE;1;6;11;83;292;1038;102;2;1535
170900 GOIATINS;4;14;30;283;973;4139;622;43;6108
170930 GUARAI;3;24;38;524;1981;6399;568;1;9538
170950 GURUPI;39;88;188;1734;5993;20988;2104;8;31142
170980 IPUEIRAS;2;-;-;44;128;401;42;3;620
171050 ITACAJA;4;13;23;168;523;2179;314;5;3229
171070 ITAGUATINS;3;4;5;122;499;1508;117;4;2262
171090 ITAPIRATINS;-;2;8;61;199;760;93;2;1125
171110 ITAPORA DO TOCANTINS;2;3;5;55;217;649;70;-;1001
171150 JAU DO TOCANTINS;-;2;5;51;166;648;71;-;943
171180 JUARINA;-;3;3;45;184;510;50;1;796
171190 LAGOA DA CONFUSAO;2;11;24;235;758;3006;424;14;4474
171195 LAGOA DO TOCANTINS;3;5;13;153;390;915;71;9;1559
171200 LAJEADO;1;2;6;84;216;772;72;1;1154
171215 LAVANDEIRA;2;2;1;29;91;351;26;2;504
171240 LIZARDA;4;1;6;62;249;827;76;13;1238
171245 LUZINOPOLIS;-;3;7;71;229;682;55;2;1049
171250 MARIANOPOLIS DO TOCANTINS;2;5;10;70;307;997;106;-;1497
171270 MATEIROS;1;1;9;49;203;588;51;27;929
171280 MAURILANDIA DO TOCANTINS;3;5;5;63;225;623;47;1;972
171320 MIRACEMA DO TOCANTINS;7;23;53;536;1864;6193;557;6;9239
171330 MIRANORTE;-;19;18;253;923;3358;276;1;4848
171360 MONTE DO CARMO;3;8;13;154;527;1459;139;3;2306
171370 MONTE SANTO DO TOCANTINS;-;-;6;28;117;439;45;-;635
171380 PALMEIRAS DO TOCANTINS;1;2;9;87;336;1220;114;4;1773
171395 MURICILANDIA;1;6;5;100;326;931;54;2;1425
171420 NATIVIDADE;4;18;28;236;682;2194;227;15;3404
171430 NAZARE;2;6;11;108;389;1058;94;3;1671
171488 NOVA OLINDA;6;13;30;300;1010;2981;251;16;4607
171500 NOVA ROSALANDIA;-;2;8;63;223;835;81;-;1212
